Denominador,TBN (‰),TFG (‰),TFT,TBR,TLR,Nascimentos,Pop. total,Mulheres 15-49
Projeção IBGE (Rev. 2024),17.11,60.92,1.944,0.942,0.91,13614,795457,223468
Censo 2022,18.55,65.41,2.1,1.017,0.983,13614,733759,208149
