Critério,Fetais (média 2022-24),Neo. precoces (média),Denominador (NV+fet 2023),TMP (‰)
Fetais 28+ semanas,97.7,112.3,13059,16.08
Todos os fetais — sensibilidade,148.7,112.3,13108,19.91
