ano,sexo,a0,a1_4,n_obitos_0,n_obitos_1_4
2010,Feminino,0.09982275532148623,1.5952380952380953,144,21
2010,Masculino,0.08974280148864504,1.8333333333333333,155,24
2024,Feminino,0.08607233910684371,1.35,107,20
2024,Masculino,0.11389778619976736,1.6666666666666667,108,24
